stage_name,family_birth_name,given_first_name,gender,role_type,start_year,end_year,birth_year,death_year,birth_country,,,,,,
Priscilla Barnes,,,F,,,,,,,,,,,,
Charlie Barnett,,,M,,,,,,,,,,,,
Nella Barnier,,,F,,,,,,,,,,,,
Sandy Baron,,,,,,,,,,,,,,,
Pierre Barouh,,,M,,,,,,,,,,,,
Maria Barranco,,,F,,,,,,,,,,,,
JeanLouis Barrault,Barrault,Jean-Louis,M,stage actor,1935,1967,1910,1994,France,,,,,,
MarieChristine Barrault,Barrault,Marie-Christine,F,,1969,1978,1944,,France,,,,,,
Edith Barrett,Williams,Edith,F,secondary,1941,1956,1907,1977,USA,,,,,,
Judith Barrett,Kelly,Lucille,F,B-movie lead,1936,1940,1914,,USA,,,,,,
Barbara Barrie,Barrie,Barbara,F,pert,1964,1980,,,USA,,,,,,
Mona Barrie,Smith,Mona,F,ladylike,1933,1953,1909,,Australia,,,,,,
Wendy Barrie,Jenkins,Wendy,F,lead,1932,1954,1912,1978,Great Britain,,,,,,
Edgar Barrier,Barrier,Edgar,M,suave villain,1940,1963,1906,1964,USA,,,,,,
Maurice Barrier,,,M,,1982,,,,France,,,,,,
George Barris,,,M,,1979,,,,,,,,,,
Gene Barry,Klass,Eugene,M,poised,1952,1979,1921,,USA,,,,,,
Joan Barry,Barry,Joan,F,lead,1922,1934,1903,,Great Britain,,,,,,
Diane Barrymore,Barrymore Blythe,Diane Blanche,F,unhappy,1942,1944,1921,1960,USA,,,,,,
Drew Barrymore,Barrymore,Drew,F,determined child,1982,1992,1976,,USA,,,,,,
Ethel Barrymore,Blythe,Edith Mae,F,regal presence,1914,1957,1879,1959,USA,,,,,,
John Barrymore,Blythe,John,M,churlish grandpa,1913,1942,1882,1942,USA,,,,,,
John Barrymore~jr.,Blythe Barrymore,John Drew,M,weakling,1950,1963,1932,,USA,,,,,,
John Barrymore~III,,,M,,,,,,,,,,,,
Lionel Barrymore,Blythe,Lionel,M,churlish grandpa,1909,1953,1878,1954,USA,,,,,,
Doris Rankin,Rankin,Doris,,,,,,,USA,,,,,,
Irine Fenwick,Fenwick,Irene,,,,,1936,,USA,,,,,,
Maurice Barrymore,Blythe,Herbert,M,[stage],,,,,USA,,,,,,
Georgiana Drew,Blythe,Herbert,M,[stage],,,,,USA,,,,,,
Paul Bartels,Bartels,Paul,M,wild,1976,1981,1940,,USA,,,,,,
Eddie Barth,,,M,,1979,,,,,,,,,,
Richard Barthelmess,Barthelmess,Richard,M,presentable innocent,1916,1942,1895,1963,USA,,,,,,
Freddie Bartholomew,Llewellyn,Frederick,M,well-bred child,1930,1951,1924,1992,Ireland,,,,,,
Eve Bartok,Szoke,Eva,F,agreeable,1951,1964,1926,,Hungary,,,,,,
James Barton,Barton,James,M,grubby,1923,1961,1890,1962,USA,,,,,,
Richard Basehart,Basehart,Richard,M,thoughtful,1947,1982,1915,1984,USA,,,,,,
Tony Basil,,,M,,1969,,,,,,,,,,
Kim Basinger,Basinger,Kim,F,stunning, vulnerable looking lead,1982,,1953,1998,USA,,,,,
Count Basie,Basie,William,M,musician,,,,,USA,,,,,,
Richard Baskin,Baskin,Richard,M,,1975,1976,,,,,,,,,
Alfie Bass,Bass,Alfie,M,sr,1954,1967,,1987,,,,,,,
Lina Basquette,Basquette,Lena,F,dancer, rebel,1916,,1907,,USA,,,,,
Albert Basserman,Basserman,Albert,M,sympathetic,1913,1948,1867,1952,Germany,,,,,,
Angela Bassett,Bassett,Angela,F,mother,1991,1993,1958,,,,,,,,
Steve Bassett,,,M,,1983,,,,,,,,,,
Alexandra Bastedo,Bastedo,Alexandra,F,lead,1963,1975,1946,,Great Britain,,,,,,
Alan Bates,Bates,Alan,M,thoughtful tough,1959,1983,1934,,Great Britain,,,,,,
Barbara Bates,,,F,,1949,,,,,,,,,,
Florence Bates,Rabe,Florence,F,matron (friendly or fiendish),1937,1953,1888,1954,USA,,,,,,
Kathy Bates,Bates,Kathy,F,plump,1982,1990,1958,,USA,,,,,,
Michael Bates,Bates,Michael,M,stupid policeman,1955,1977,1920,1978,Great Britain,,,,,,
Belinda Bauer,,,F,dancer,1983,1990,,,USA,,,,,,
Steven Bauer,,,M,,1983,1986,,,,,,,,,
Harry Baur,Baur,Harry,M,celebrated,1910,1942,1880,1943,France,,,,,,
Barbara Baxley,Baxley,Barbara,F,gorgeous,1958,1979,,,USA,,,,,,
Alan Baxter,Baxter,Alan,M,colonel,1935,1971,1908,1976,USA,,,,,,
Anne Baxter,Baxter,Ann,F,shy innocent, cold eyed schemer,1940,,1923,1985,USA,,,,,
Jane Baxter,Forde,Feodora,F,gentle-mannered,1932,1951,1909,,Great Britain,,,,,,
Warner Baxter,Baxter,Warner,M,distinguished,1914,1950,1889,1951,USA,,,,,,
Sarah Bay,Neri,Rosalba,F,,1972,,,,Italy,,,,,,
Nathalie Baye,Baye,Nathalie,F,,1950,1982,,,,,,,,,
Gary Bayer,,,M,,,,,,,,,,,,
Geoffrey Bayldon,Bayldon,Geoffrey,M,lanky excentric,1953,1983,1924,,Great Britain,,,,,,
Stephanie Beacham,Beacham,Stephanie,F,lead,1969,1980,1949,,Great Britain,,,,,,
John Beal,Bliedung,Alexander,M,boyish innocence,1933,1983,1909,,USA,,,,,,
Jennifer Beals,,,F,,,,,,,,,,,,
Emanuelle Beart,Beart,Emanuelle,F,naive beauty,1985,1991,1965,d,France,,,,,,
The Beatles,The Beatles,,G,pop,1964,1981,1940,,Great Britain,,,,,,
Ned Beatty,Beatty,Ned,M,chubby,1972,1983,133],1937,,USA,,,,,
Robert Beatty,Beatty,Robert,M,lead,1943,1973,1909,,Canada,,,,,,
Warren Beatty,Beaty,Warren,M,pschological maladjustment,1961,1978,1937,,USA,,,,,,
Louise Beavers,Beavers,Louise,F,happy housekeeper,1929,1961,1902,1962,USA,,,,,,
John C. Becher,,,M,,,,,,,,,,,,
Sidney Bechet,Bechet,Sidney,M,clarinetist,1930,,1892,1959,USA,,,,,,
Jenny Beck,Beck,Jennifer,F,daughter,1976,,1974,,USA,,,,,,
John Beck,Beck,John,M,lead,1969,1981,1943,,USA,,,,,,
Kimberly Beck,,,F,,,,,,,,,,,,
Michael Beck,Beck,Michael,M,lead,1977,1981,1948,,USA,,,,,,
Stanley Beck,,,M,,,,,,,,,,,,
Barry Beckerman,,,M,,,,,,,,,,,,
Scotty Beckett,Beckett,Scotty,M,soulful-looking,1934,1956,1929,1968,USA,,,,,,
Reginald Beckwith,Beckwith,Reginald,M,high voice,1941,1965,1908,1965,Great Britain,,,,,,
Don Beddoe,Beddoe,Don,M,genial look,1939,1969,1888,1979,USA,,,,,,
Bonnie Bedelia,Bedelia,Bonnie,F,lead,1969,1990,1946,,USA,,,,,,
Kabir Bedi,Bedi,Kabir,M,lead,1976,1983,1935,,India,,,,,,
Alfonso Bedoya,Bedoya,Alfonso,M,beaming face,1947,1957,1904,1957,Mexico,,,,,,
Molly Bee,,,F,,,,,,,,,,,,
Noah Beery,Beery,Noah,M,villain,1918,1946,1884,1946,USA,,,,,,
Noah Beery~jr.,Beery~jr.,Noah,M,easy going sidekick,1920,1982,1913,1994,USA,,,,,,
Wallace Beery,Beery,Wallace,M,tough, ugly, slow-thinking,1916,1949,,1880,1949,USA,,,
Hagan Beggs,,,M,,,,,,,,,,,,
Ed Begley,Begley,Ed,M,jovial uncle,1947,1969,1901,1970,USA,,,,,,
Ed Begley~jr.,Begley~jr.,Ed,M,character actor,1972,1979,,,USA,,,,,,
Harry Belafonte,Belafonte,Harry,M,ballad singer,1953,1974,1927,,USA,,,,,,
Charles Belcher,,,M,,,,,,,,,,,,
Barbara BelGeddes,Lewis,Barbara Geddes,F,placid,1947,,1927,,USA,,,,,,
Ann Bell,Bell,Ann,F,character,1962,1980,,,Great Britain,,,,,,
James Bell,Bell,James,M,character,1932,1963,1891,1973,USA,,,,,,
Marie Bell,Bellon-Downey,Marie-Jeanne,F,distinguished,1928,1966,1900,1985,France,,,,,,
Rex Bell,Bell,Rex,M,cowboy,1930,,,1962,USA,,,,,,
Tom Bell,Bell,Tom,M,gaunt, lead,1961,,1933,,Great Britain,,,,,
Madge Bellamy,Philpott,Margaret,F,general purpose,1923,1928,1903,,USA,,,,,,
Ralph Bellamy,Bellamy,Ralph,M,rich `other man',1931,1983,1904,1991,USA,,,,,,
Harry Bellaver,Bellaver,Harry,M,cop, small-time gangster or cabbie,1940,,1905,,USA,,,,,
Kathleen Beller,Beller,Kathleen,F,lead,1974,1983,1955,,USA,,,,,,
Agostina Belli,,,M,,,,,,,,,,,,
Olga Bellin,,,F,,,,,,,,,,,,
JeanPaul Belmondo,Belmondo,Jean,M,interesting but unhandsome lead,1958,1983,1933,,France,,,,,,
Belmonts,,,,,,,,,,,,,,,
Lionel Belmore,Belmore,Lionel,M,portly,1915,1940,1867,1953,Great Britain,,,,,,
Richard Beltran,,,M,,,,,,,,,,,,
Robert Beltran,,,M,,,,,,,,,,,,
Jim Belushi,,,M,,,,,,,,,,,,
John Belushi,Belushi,John,M,overweight comic,1978,1981,1949,1982,USA,,,,,,
Richard Belzer,,,M,,,,,,,,,,,,
Pat Benatar,,,F,singer,,,,,,,,,,,
Brian Benben,,,M,,,,,,,,,,,,
Robert Benchley,Benchley,Robert,M,lovable bumbler,1933,1946,1889,1945,USA,,,,,,
William Bendix,Bendix,William,M,sweet tough,1942,1965,992],1906,1964,USA,,,,,
Billy Benedict,Benedict,Billy,M,an original `Bowery Boy', now cabby bartender,1935,,1906,,USA,,,,,
Dirk Benedict,Niewoehner,Dirk,M,lead,1975,1983,1945,,USA,,,,,,
Paul Benedict,,,M,,,,,,,,,,,,
Richard Benedict,Benedetto,Riccardo,M,heavy,1946,1960,1916,,USA,,,,,,
Annette Bening,Bening,Annette,F,sex kitten,1990,1991,,,USA,,,,,,
Richard Benjamin,Benjamin,Richard,M,diffident,1953,1982,1938,,USA,,,,,,
Alma Bennett,Bennett,Belle,F,silent vamp,1914,1930,1889,1958,USA,,,,,,
Barbara Bennett,Bennett,Barbara,F,silent lead,1929,1930,1902,1958,USA,,,,,,
Belle Bennett,Bennett,Belle,F,silent lead,1918,1931,1891,1932,USA,,,,,,
Bruce Bennett,Brix,Herman,M,athletic,1934,1961,1909,,USA,,,,,,
Constance Bennett,Bennett,Constance,F,worldly,1922,1965,1904,1965,USA,,,,,,
Hywel Bennett,Bennett,Hywel,M,innocent,1966,1980,1944,,Great Britain,,,,,,
Jill Bennett,Bennett,Jill,F,emancipated, unusual,1953,,1944,1990,Great Britain,,,,,
Joan Bennett,Bennett,Joan,F,attractive,1915,1978,1910,1990,USA,,,,,,
Joe Bennett,,,M,,,,,,,,,,,,
John Bennett,Bennett,John,M,swarthy,1959,1977,1928,,Great Britain,,,,,,
Marjorie Bennett,Bennett,Marjorie,F,bathing beauty,1947,1976,1894,1982,USA,,,,,,
Richard Bennett,Bennett,Richard,M,dapper,1923,1943,1873,1944,USA,,,,,,
Annette Benning,Benning,Anette,F,lively,1993,,1958,,USA,,,,,,
Jack Benny,Kubelsky,Benjamin,M,reproachful comedian,1929,1967,1894,1974,USA,,,,,,
Martin Benson,Benson,Martin,M,smooth crook,1949,1981,1918,,Great Britain,,,,,,
Robby Benson,Segal,Robert,M,cute juvenile,1973,1982,1956,,USA,,,,,,
Michael Bentine,Bentine,Michael,M,goonish,1966,,1922,,Great Britain,,,,,,
Barbi Benton,,,F,playboy girl,,,,,,,,,,,
Susanne Benton,,,F,,,,,,,,,,,,
Iris Berben,,,F,,,,,,,,,,,,
Tom Berenger,Berenger,Tom,M,brooding,1977,1983,1950,,USA,,,,,,
Marisa Berenson,Berenson,Marisa,F,fashion model,1972,1981,1946,,,,,,,,
Judith-Marie Bergan,,,F,,,,,,,,,,,,
Candice Bergen,Bergen,Candice,F,stylish,1966,1982,1946,,USA,,,,,,
Polly Bergen,Burgin,Nellie,F,singer,1950,1970,1929,,USA,,,,,,
William Bergen,,,M,,,,,,,,,,,,
Helmut Berger,Steinberger,Helmut,M,sinister, handsome,1969,,1944,,Austria,,,,,
Katya Berger,,,F,,,,,,,,,,,,
Senta Berger,Berger,Senta,F,lead,1957,1977,1941,,Austria,,,,,,
Sidney Berger,,,M,,,,1962,,,,,,,,
William Berger,,,M,,,,,,,,,,,,
Jacques Bergerac,Bergerac,Jacques,M,lead,1957,1965,1927,,France,,,,,,
Herbert Berghof,Berghof,Herbert,M,character,1952,1980,1909,1990,Austria,,,,,,
Ingrid Bergman,Bergman,Ingrid,F,innocent, strong beauty,1934,[4.662],1915,1982,Sweden,,,,,
Harold Bergman,,,M,,,,,,,,,,,,
Henry Bergman,,,M,,,,,,,,,,,,
Sandahl Bergman,,,,,,,,,,,,,,,
Tracy Bergman,,,,,,,,,,,,,,,
Elisabeth Bergner,Ettel,Elisabeth,F,fey gamine,1924,1979,1898,1986,Germany,,,,,,
Thommy Bergren,,,M,,,,,,,,,,,,
Steven Berkoff,,,M,,,,,,,,,,,,
Milton Berle,Berlinger,Mendel,M,brash comic,1937,1980,1908,,USA,,,,,,
Irving Berlin,Baline,Israel,M,singer,1943,,1888,,USA,,,,,,
Jennie Berlin,Berlin,Jean,F,,1972,,,,USA,,,,,,
Shelley Berman,Berman,Shelley,M,cabaret monologuist,1964,1970,1926,,USA,,,,,,
Susan Berman,,,F,,,,,,,,,,,,
Jason Bernhard,,,M,,,,,,,,,,,,
Sandra Bernhard,Bernhard,Sandra,F,elegant sexy,1982,1992,,,USA,,,,,,
Sarah Bernhardt,Bernhard,Sarah,F,heroine, courtesan,1923,,1844,1923,France,,,,,
Herschel Bernardi,Bernardi,Herschel,M,balding, beaming cop or gangster,1937,,1923,1986,USA,,,,,
Sarah Bernhardt,Bernard,Rosalie,F,dignified,1900,1923,1844,1923,France,,,,,,
Elizabeth Berridge,,,F,,,,,,,,,,,,
Phillip Berrigan,,,M,,,,,,,,,,,,
Chuck Berry,,,M,,,,,,,,,,,,
Jules Berry,Paufichet,Jules,M,Saturnine, character,1934,,1883,1951,France,,,,,
Ken Berry,Berry,Ken,M,bird-like comic hero,1970,1974,1933,,USA,,,,,,
Michael Berryman,,,M,,,,,,,,,,,,
Marina Berti,Berti,Marina,F,lead,1949,1977,1928,,Italy,,,,,,
Bibi Besch,,,F,,,,,,,,,,,,
Eugenie Besserer,Besserer,Eugenie,F,character,1912,1933,1870,1934,USA,,,,,,
Edna Best,Best,Edna,F,maternal,1921,1948,1900,1974,Great Britain,,,,,,
Willie Best,Best,Willie,M,goggled-eyed servant,1930,1955,1916,1962,USA,,,,,,
Barbara Bestar,,,F,,,,,,,,,,,,
Jack Beutel,,,M,,,,,,,,,,,,
Turhan Bey,Bey,Turhan,M,romantic sheik,,,,1995,,,,,,,
Richard Beymer,Beymer,Richard,M,juvenile lead,1952,1983,1939,,,,,,,,
Daniela Bianchi,Bianchi,Daniela,F,lead,1959,1968,1942,,,,,,,,
Charles Bickford,Bickford,Charles,M,rugged, projected sincerity and warmth,1929,,1889,1967,USA,,,,,
Michael Biehn,,,M,,,,,,,,,,,,
Ramon Bieri,,,M,,,,,,,,,,,,
Theodore Bikel,Bikel,Theodore,M,heavily-built, can play most nationalities,1951,,1924,,Austria,,,,,
Tony Bill,Bill,Tony,M,light lead,1963,1980,1940,,USA,,,,,,
Peter Billingsley,,,M,,,,,,,,,,,,
Herman Bing,Bing,Herman,M,plump,explosive comedy,1929,,1889,1947,Germany,,,,,
Geoff Binney,,,M,,,,,,,,,,,,
Edward Binns,Binns,Edward,M,solid, character,1951,,,,USA,,,,,
Julliette Binoche,Binoche,Julliette,F,charming lead,1987,,1964,,France,,,,,,
Paul Birch,Birch,Paul,M,burly,1953,1967,1900,1969,USA,,,,,,
Brad Bird,,,M,,,,,,,,,,,,
Norman Bird,Bird,Norman,M,underdog,1954,1981,1920,,Great Britain,,,,,,
David Birney,Birney,David,M,lead,1973,1982,1944,,USA,,,,,,
Jennifer Bishop,,,F,,,,,,,,,,,,
Pat Bishop,,,,,,,,,,,,,,,
Julie Bishop,Brown,Jacqueline,F,lead,1933,1957,1914,,USA,,,,,,
Whit Bissell,Bissell,Whit,M,attorneys to garage attendant,1943,1966,1919,1981,USA,,,,,,
Jacqueline Bisset,Bisset,Jacqueline,F,lead,1964,1988,1944,,Great Britain,,,,,,
Bonnie Bittner,,,F,,,,,,,,,,,,
Bill Bixby,Bixby,Bill,M,diffident light lead,1962,1983,1934,1993,USA,,,,,,
Gunnar Bjornstrand,Gunnar Bjornstrand,Gunnar,M,lead,1952,1982,,1986,Sweden,,,,,,
Karen Black,Ziegeler,Karen,F,lead,1967,1983,1942,,USA,,,,,,
Honor Blackman,Blackman,Honor,F,`charm school' product, `English rose', later kinky and judo,1978,[4.76],1926,,Great Britain,,,,
Joan Blackman,Blackman,Joan,F,lead,1961,1966,1938,,USA,,,,,,
Sidney Blackmer,Blackmer,Sidney,M,suave,1929,1968,1895,1973,USA,,,,,,
Ruben Blades,Blades,Ruben M,,singer,1988,1991,1948,,Panama,,,,,,
Gerard Blain,Blain,Gerard,M,equiv.of James Dean,1954,1980,1930,,France,,,,,,
Vivian Blaine,Stapleton,Vivienne,F,vivacious,1942,1983,1921,,USA,,,,,,
Betsy Blair,Boger,Elizabeth,F,shy and nervous,1947,1973,1923,,USA,,,,,,
Janet Blair,Lafferty,Martha,F,vivacious,1941,1972,1921,,USA,,,,,,
Linda Blair,Blair,Linda,F,possessed child,1974,1981,1959,,USA,,,,,,
Amanda Blake,Blake,Amanda,F,wife,1956,,,1989,,,,,,,
Jon Blake,,,M,,,,,,,,,,,,
Mary Blake,McDonald,Blossom,F, best friend,,,1896,1978,USA,,,,,,
Robert Blake,Gubitosi,Michael (Bobby),M,unusual roles,1943,1983,1933,,USA,,,,,,
Whitney Blake,Blake,Whitney,F,sr,1959,,,,,,,,,,
Colin Blakely,Blakely,Colin,M,stocky,1960,1983,1930,1987,Great Britain,,,,,,
Susan Blakely,Blakely,Susan,F,lead,1972,1980,1950,,USA,,,,,,
Ronee Blakley,Blakley,Ronee,F,pop singer,1975,1981,1946,,USA,,,,,,
Michel Blanc,Blanc,Michel,M,,1990,,,,France,,,,,,
Pierre Blanchar,Blanchar,Pierre,M,distinguished,1923,1958,1892,1963,France,,,,,,
Alan Blanchard,,,M,,,,,,,,,,,,
Mari Blanchard,Blanchard,Mary,F,decorative,1950,1964,1927,1970,USA,,,,,,
Pierre Blanchard,,,M,,,,,,,,,,,,
Clara Blandick,Blandick,Clara,F,sensible, no-nonsense,1930,,1880,1962,USA,,,,,
Sally Blane,Jung,Elizabeth,F,lead,1927,1949,1910,,USA,,,,,,
Mark Blankfield,,,M,,,,,,,,,,,,
Roger Blay,,,M,,,,,,,,,,,,
Debra Blee,,,F,,,,,,,,,,,,
Brian Blessed,Blessed,Brian,M,massive,1970,1983,1937,,Great Britain,,,,,,
Bernard Blier,Blier,Bernard,M,plump and bald,1937,1982,1916,1989,Argentina-France,,,,,,
Dan Blocker,Blocker,Dan,M,heavyweight,1963,1972,1928,1972,USA,,,,,,
Michael Blodgett,,,M,,,,,,,,,,,,
Joan Blondell,Blondell,Joan,F,blonde dame,1930,1979,236],1909,1979,USA,,,,,
Claire Bloom,Bloom,Claire,F,lead,1948,1981,1931,,Great Britain,,,,,,
Verna Bloom,Bloom,Verna,F,lead,1969,1980,,,USA,,,,,,
Eric Blore,Blore,Eric,M,unctuous or insulting butlers, eccentric types,1920,,1887,1959,Great Britain,,,,,
Monte Blue,Blue,Monte,M,burly hero,1916,1954,1890,1963,USA,,,,,,
Ann Blyth,Blyth,Ann,F,diminutive,1944,1957,1928,,USA,,,,,,
Betty Blythe,Slaughter,Elizabeth Blythe,F,lead,1920,1964,1893,1972,USA,,,,,,
John Blythe,Blythe,John,M,spiv types,1944,1969,1921,,Great Britain,,,,,,
Eleanor Boardman,Boardman,Eleanor,F,sympathetic,1922,1934,1898,,USA,,,,,,
Hart Bochner,,,M,,,,,,,,,,,,
Lloyd Bochner,Bochner,Lloyd,M,lead,1963,1981,1924,,Canada,,,,,,
Carl Boehm,Boehm,Karlheinz,M,blond, handsome,1952,,1928,,Germany,,,,,
Paul Boensh~III,,,M,,,,,,,,,,,,
Dirk Bogarde,Van Den Bogaerd,Derek,M,character,1947,1981,1921,1999,Great Britain,,,,,,
Humphrey Bogart,Bogart,Humphrey DeForest,M,tough,1930,1956,1899,1957,USA,,,,,,
Roman Bohnen,Bohnen,Roman,M,hard-working immigrant type,1937,1948,1894,1949,USA,,,,,,
Richard Bohringer,,,M,,1990,,,,,,,,,,
Curt Bois,Bois,Curt,M,head waiters and pompous clerks,1937,1954,1900,,Germany,,,,,,
Mary Boland,Boland,Mary,F,fluttery matrons,1916,1950,1880,1965,USA,,,,,,
Ray Bolger,Bolger,Ray,M,rubber-legged eccentric dancer,1936,1984,1904,1987,USA,,,,,,
Tiffany Bolling,Bolling,Tiffany,F,lead,1977,1977,,,USA,,,,,,
Joseph Bologna,Bologna,Joseph,M,,1971,1979,1938,,USA,,,,,,
Fortunio Bonanova,Bonanova,Fortunio,M,impresario,1932,1969,1893,1969,Spain,,,,,,
Derek Bond,Bond,Derek,M,lead,1946,1971,1919,,Great Britain,,,,,,
Lillian Bond,Bond,Lillian,F,lead,1931,1955,1910,,Great Britain,,,,,,
Sudie Bond,,,F,,,,,,,,,,,,
Ward Bond,Bond,Ward,M,burly,1930,1960,1903,1960,USA,,,,,,
Natalya Bondartchuk,,,F,,,,,,,,,,,,
Sergei Bondartchuk,Bondartchuk,Sergei,M,,1948,1982,1920,,Russia,,,,,,
Beulah Bondi,Bondy,Beulah,F,old lady,1931,1971,1889,1981,USA,,,,,,
Peter Bonerz,,,M,,,,,,,,,,,,
Sandrine Bonnaire,Bonnaire,Sandrine,F,quiet beauty,1983,1990,1967,,France,,,,,,
Beverly Bonner,,,F,,,,,,,,,,,,
Valerie Bonnier,,,F,,,,,,,,,,,,
Sonny Bono,Bono,Salvatore,M,comedian,,,1940,1998,,,,,,,
Bonzo,Bonzo,,A,chimpanzee,1951,1952,,,,,,,,,
Pat Boone,Boone,Pat,M,gentle-mannered,1957,1970,1934,,USA,,,,,,
Richard Boone,Boone,Richard,M,craggy, menacing roles,1951,,1917,1981,USA,,,,,
John Boorman,Boorman,John,M,,1978,1978,1933,,Great Britain,,,,,,
Connie Booth,,,F,,,,,,,,,,,,
Geeves-Booth,Geeves-Booth,David,M,innocent or villainous,1960,1978,1930,,Great Britain,,,,,,
Shirley Booth,Booth,Thelma Ford,F,middle-aged roles,1952,1973,1907,1992,USA,,,,,,
Powers Boothe,Boothe,Powers,M,overpowering,1980,1983,,,USA,,,,,,
Paola Borboni,,,F,,,,,,,,,,,,
Matt Borel,,,M,,,,,,,,,,,,
Veda Ann Borg,Borg,Veda,F,archetypal hard-boiled blonde,1936,1960,1915,1973,USA,,,,,,
Dirk Borgarde,,,M,,,,,,,,,,,,
Victor Borge,Borge,Victor,M,humerous pianist,1943,,,,Denmark,,,,,,
Nelly Borgeaud,,,F,,,,,,,,,,,,
Ernest Borgnine,Borgnino,Ermes,M,forceful,1951,1984,1915,,USA,,,,,,
Tom Bosley,Bosley,Tom,M,plump,1946,1976,1927,,USA,,,,,,
Barry Bostwick,Bostwick,Barry,M,personable, tall,1971,,1946,,USA,,,,,
Benjamin Bottoms,,,M,,,,,,,,,,,,
Joseph Bottoms,Bottoms,Joseph,M,juvenile,1974,1981,1954,,USA,,,,,,
Sam Bottoms,Bottoms,Sam,M,lead,1971,1979,1960,,USA,,,,,,
Timothy Bottoms,Bottoms,Timothy,M,lead,1971,1980,1949,,USA,,,,,,
Barbara Bouchet,Gutscher,Barbara,F,glamour girl,1965,1976,1943,,Germany,,,,,,
Daniel Boulanger,,,M,,,,,,,,,,,,
Mathew Boulton,,,M,,,,,,,,,,,,
Carole Bouquet,,,F,,,,,,,,,,,,
Michel Bouquet,Bouquet,Michel,M,general purpose,1947,1978,1926,,France,,,,,,
Charon Bourke,,,,,,,,,,,,,,,
Phillip Bourneuf,Bourneuf,Phillip,M,older school,1944,1970,1912,1979,USA,,,,,,
Julie Bovasso,,,F,,,,,,,,,,,,
Tony Bova,,,M,,,,,,,,,,,,
Clara Bow,Bow,Clara,F,flapper, the `it' girl,1922,[4.1144, 18.109],1905,1965,USA,,,,
Dorris Bowdon,Bowdon,Dorris,F,lead,1939,1942,1915,,USA,,,,,,
Elizabeth Bowen,,,F,,,,,,,,,,,,
Roger Bowen,,,M,,,,,,,,,,,,
Malick Bowes,,,M,,,,,,,,,,,,
David Bowie,Jones,David Robert,M,musician, bizarrely decorated, makes curious forays,1983,,1947,,Great Britain,,,,
Judy Bowker,Bowker,Judy,F,lead,1973,1981,1954,,Great Britain,,,,,,
Lee Bowman,Bowman,Lee,M,light lead,1936,1964,1910,1979,USA,,,,,,
Bruce Boxleitner,Boxleitner,Bruce,M,lead,1975,1983,1950,,USA,,,,,,
Dorothy Boyd,,,F,,,,,,,,,,,,
Guy Boyd,,,M,,,,,,,,,,,,
Stephen Boyd,Millar,William,M,lead,1955,1977,1928,1977,Ireland,,,,,,
William Boyd,Boyd,William,M,Hopalong Cassidy,1919,1948,1895,1972,USA,,,,,,
William `Stage' Stage,Boyd,William `Stage',M,lead,1932,1933,,,USA,,,,,,
Charles Boyer,Boyer,Charles,M,romantic,1920,1964,1899,1978,France,,,,,,
Peter Boyle,Boyle,Peter,M,rotund, balding,1968,[4.119],1933,,USA,,,,,
The Bowery Boys,,,G,young hooligans,1942,,1942,,USA,,,,,,
Reizel Bozyk,Bozyk,Reizel,F,Jewish mother,1988,,1914,1993,Poland,,,,,,
Marcel Bozzuffi,Bozzuffi,Marcel,M,balding,1969,1981,1929,,France,,,,,,
Eddie Bracken,Bracken,Eddie,M,nervous hayseed,1940,1953,1920,,USA,,,,,,
Jean Bradin,,,M,,1928,,,,,,,,,,
Terry Bradshaw,,,,,,,,,,,,,,,
Alice Brady,Brady,Alice,F,fluttery society matron, drab housewife,1916,,1892,1939,USA,,,,,
Pat Brady,Brady,Pat,M,cowboy,,,,,USA,,,,,,
Rob Brady,,,M,,,,,,,,,,,,
Scott Brady,Tierney,Gerald,M,tough-looking,1948,1971,1924,,,,,,,,
Sonia Braga,Braga,Sonia,F,sexy,1988,,,,Great Britain,,,,,,
Dame Lilian Braithwaite,Braithwaite,Dame Lilian,F,distinguished,1915,1947,1873,1948,Great Britain,,,,,,
Wilfrid Brambell,Brambell,Wilfrid,M,grotesque,1976,1968,1912,1985,USA,,,,,,
Kenneth Branagh,Branagh,Kenneth,M,,1998,,1960,,,,,,,,
Miriam Brickman,Brickman,Miriam,F,,1963,1977,,,Great Britain,,,,,,
Wilford Brimley,Brimley,A.Wilford,M,friendly,1982,1985,,,USA,,,,,,
Kenneth Branagh,,,M,competent,,,,,,,,,,,
Neville Brand,Brand,Neville,M,thickset, Red Indian, gangster,1980,,1921,,USA,,,,
Klaus Maria Brandauer,Brandauer,Klaus Maria,M,hero,1983,1990,1944,,Germany,,,,,,
Marlon Brando,Brando,Marlon,M,modern male,1950,1980,4.18,18.420],1924,,USA,,,,
Henry Brandon,Kleinbach,Henry,M,character, menace,1934,,1912,,USA,,,,,
Michael Brandon,Brandon,Michael,M,lead,1970,1979,,,USA,,,,,,
Betsy Brantley,Brantley,Betsy,F,friendly,,,,,USA,,,,,,
Claude Brasseur,Brasseur,Claude,M,,1960,1979,1936,,France,,,,,,
Pierre Brasseur,Brasseur,Pierre,M,distinguished,1928,1968,1903,1972,France,,,,,,
Rossano Brazzi,Brazzi,Rossano,M,handsome wimp,1948,1981,1916,,Italy,,,,,,
Larry Breeding,,,M,,,,,,,,,,,,
Hanna Brejchova,,,F,,,,,,,,,,,,
